,Raman Shift /cm$^{-1}$,Intensity /a.u.
0,353.138,-302.39389812964873
1,354.168,-216.96344611131644
2,355.198,-231.5329644583835
3,356.227,-315.10240227383474
4,357.257,-253.67168597043565
5,358.286,-284.24071108093267
6,359.314,-254.80934827826786
7,360.343,-168.37744037980156
8,361.372,-291.944805231582
9,362.4,-63.51124417865503
10,363.428,-83.07652995548779
11,364.456,-235.64042907245312
12,365.483,-110.20269989841836
13,366.511,-70.76307770949279
14,367.538,-53.32128698191809
15,368.565,-4.87704525715526
16,369.592,-26.43006485118167
17,370.618,1.019942397961131
18,371.645,68.47326724236336
19,372.671,137.93020043209253
20,373.697,397.39103258028626
21,374.723,397.8560540242215
22,375.748,630.3255543064079
23,376.774,850.7998221736561
24,377.799,1046.2791451121484
25,378.824,1398.7638089064676
26,379.849,1813.2540972486495
27,380.873,2356.7502910332078
28,381.898,2958.252667528155
29,382.922,3754.76149928799
30,383.946,4735.277052950714
31,384.97,5599.799587644804
32,385.994,6356.329353028192
33,387.017,7137.866587559216
34,388.04,7901.411516983571
35,389.063,8308.964352771221
36,390.086,8442.525290589329
37,391.109,8311.094509487135
38,392.131,7909.672171628834
39,393.153,7131.258422556435
40,394.175,6505.853391992616
41,395.197,5585.45719539755
42,396.219,4659.069935219693
43,397.24,4045.6917027366
44,398.261,3351.322579907697
45,399.282,2823.9626406010248
46,400.303,2438.6119519819913
47,401.324,1976.2705755681018
48,402.344,1770.9385679996303
49,403.364,1438.615981964318
50,404.384,1334.3028666080427
51,405.404,954.9992681994518
52,406.424,926.7052303386045
53,407.443,778.4207947155446
54,408.463,689.1460011669369
55,409.482,651.8808879726021
56,410.5,621.6254920340798
57,411.519,510.3798489491346
58,412.537,473.14399307228086
59,413.556,448.9179577372779
60,414.574,486.7017753315995
61,415.592,528.4954773448917
62,416.609,402.29909429340114
63,417.627,452.11265563639245
64,418.644,425.93619002854757
65,419.661,456.7697252203361
66,420.678,382.61328811036583
67,421.694,405.46690468369707
68,422.711,375.33060016018135
69,423.727,298.20439894873925
70,424.743,411.0883247076381
71,425.759,349.9824004987313
72,426.775,465.8866485617218
73,427.79,232.80109043635093
74,428.805,388.7257467305899
75,429.82,460.66063758682867
76,430.835,397.6057823700139
77,431.85,567.5611995237887
78,432.864,471.52690669658114
79,433.879,604.5029204017046
80,434.893,581.4892562094246
81,435.907,789.4859284810154
82,436.92,866.4929504147876
83,437.934,1008.5103336300854
84,438.947,1129.538088013287
85,439.96,1308.5762214337701
86,440.973,1526.62473950184
87,441.986,1789.6836452106654
88,442.998,1877.752938500169
89,444.01,2141.832615730891
90,445.023,2220.9226695078796
91,446.034,2269.0230881525167
92,447.046,2322.1338555443435
93,448.058,2312.254951024868
94,449.069,2337.386349291326
95,450.08,2303.528020416463
96,451.091,2192.6799297982543
97,452.102,2091.8420382276345
98,453.112,1848.0143021101867
99,454.123,1901.1966736678114
100,455.133,1592.3891014263718
101,456.143,1394.5915301093592
102,457.152,1298.8039012554873
103,458.162,1060.026153614297
104,459.171,829.2582233377143
105,460.18,729.5000444576326
106,461.189,665.7515493474275
107,462.198,626.0126689214776
108,463.207,437.2833327626686
109,464.215,373.56346920185024
110,465.223,328.8530056953132
111,466.231,298.1518689522163
112,467.239,91.45998502401198
113,468.247,175.77727936584415
114,469.254,176.10367724993557
115,470.261,174.43910359694928
116,471.268,59.78348297537741
117,472.275,59.136739604815375
118,473.282,68.49879758532188
119,474.288,-99.13041910133325
120,475.294,-28.75098661037555
121,476.3,2.637028617755277
122,477.306,-20.96643703980226
123,478.312,8.438552788811648
124,479.317,-122.14806346984187
125,480.322,-31.72634740606736
126,481.327,-55.29634863965839
127,482.332,-148.85811368122813
128,483.337,-71.4116836223584
129,484.341,-43.95708496655425
130,485.346,115.5056627810336
131,486.35,2.9765444230506546
132,487.353,-41.544455468862
133,488.357,114.94264767098139
134,489.361,-7.562157520398614
135,490.364,163.94111736413106
136,491.367,192.45246147278158
137,492.37,281.97186362588764
138,493.373,34.49931225887849
139,494.375,151.0347952432603
140,495.377,231.57830038155953
141,496.38,241.12981517424123
142,497.381,350.68932665863395
143,498.383,226.25682138980483
144,499.385,257.8322852214551
145,500.386,288.4157035547614
146,501.387,375.0070612752752
147,502.388,375.6063426917026
148,503.389,316.21353136275866
149,504.39,545.828610095934
150,505.39,566.4515610662893
151,506.39,557.0823653572406
152,507.39,691.7210029192975
153,508.39,917.3674525888018
154,509.389,876.0216918186379
155,510.389,1138.6836962269517
156,511.388,1346.353439679846
157,512.387,1415.0308937660593
158,513.386,1619.7160273816407
159,514.385,1902.4088065925716
160,515.383,1901.1091942254097
161,516.381,2217.8171493019036
162,517.379,2249.5326270415717
163,518.377,2431.2555782283052
164,519.375,2386.9859491469324
165,520.372,2461.7236812197843
166,521.369,2440.468711095211
167,522.367,2354.220970498114
168,523.363,2343.9803862724475
169,524.36,2264.746880553739
170,525.357,2182.52037078956
171,526.353,1858.3007698979964
172,527.349,1734.0879864321105
173,528.345,1641.881925228372
174,529.341,1291.6824876550745
175,530.336,1128.4895717967447
176,531.332,1024.303073154555
177,532.327,937.1228849726904
178,533.322,747.9488984467425
179,534.317,923.7810028980639
180,535.311,591.6190861521172
181,536.305,584.4630341868178
182,537.3,567.3127317968429
183,538.294,462.1680626079433
184,539.287,480.0289091112463
185,540.281,513.8951528735524
186,541.275,570.7666745016177
187,542.268,526.6433535744218
188,543.261,439.5250685294086
189,544.254,399.41169675073616
190,545.246,347.3031147435104
191,546.239,361.199198214028
192,547.231,544.0998221740047
193,548.223,472.0048609127589
194,549.215,403.91418763142065
195,550.207,359.8276745871335
196,551.198,467.7451932292133
197,552.19,404.6666142873146
198,553.181,404.591807555611
199,554.172,419.5206420189461
200,555.162,242.45298585298588
201,556.153,269.3887063943439
202,557.143,170.32767049471295
203,558.133,103.26974446700478
204,559.123,121.21479428348903
205,560.113,168.1626857099145
206,561.103,135.11328426959517
207,562.092,160.06645514952106
208,563.081,-6.9779367335213465
209,564.07,60.979973217112274
210,565.059,-51.05994971811015
211,566.048,9.90215961933427
212,567.036,92.86617139184091
213,568.024,126.83195574200363
214,569.013,136.7993826266793
215,570.0,139.7683217490594
216,570.988,85.73864253877036
217,571.976,146.7102141459036
218,572.963,164.6829055490707
219,573.95,187.65658543347308
220,574.937,86.63112215494766
221,575.924,110.60638369402659
222,576.91,79.58223785798691
223,577.897,320.5585522328802
224,578.883,269.5351942456073
225,579.869,139.51203068195537
226,580.854,84.48892778864683
227,581.84,66.46575153338563
228,582.825,63.4423677149025
229,583.811,52.418641999011015
230,584.796,119.39443992464294
231,585.781,4.3696269258871325
232,586.765,64.3440681980428
233,587.75,-47.68237107232926
234,588.734,69.29017417266368
235,589.718,25.261573663770832
236,590.702,-0.7683030068365042
237,591.686,132.2004137024851
238,592.669,-106.83240659132935
239,593.652,-106.8668945357349
240,594.635,-145.90317030862934
241,595.618,4.058656385055656
242,596.601,-58.98150986111068
243,597.584,65.9762355383391
244,598.566,42.93180294905687
245,599.548,39.88510260476323
246,600.53,97.83604465332246
247,601.512,47.784539162836154
248,602.494,49.730496005769965
249,603.475,-16.326175040976523
250,604.456,83.61443570004849
251,605.437,73.55223950626169
252,606.418,-4.5128525121253915
253,607.399,-125.58092939201379
254,608.379,21.347920271949988
255,609.36,-8.726379807922058
256,610.34,127.19609403797222
257,611.32,142.1152663344037
258,612.299,69.03106135175767
259,613.279,165.94340307619132
260,614.258,174.85221535581877
261,615.237,244.75742170685044
262,616.216,164.65894529580692
263,617.195,264.5567087997042
264,618.174,225.45063456626303
265,619.152,293.34064441410374
266,620.13,141.22665971094102
267,621.108,126.1086012378073
268,622.086,249.98638949329325
269,623.064,150.85994472376842
270,624.041,149.7291866756459
271,625.019,256.594034793623
272,625.996,275.45440822296223
273,626.972,192.31022559575285
274,627.949,155.16140499321045
275,628.926,235.00786411192166
276,629.902,237.84952033817535
277,630.878,202.6862905882699
278,631.854,156.51809130279435
279,632.83,255.34483851698678
280,633.806,329.16644795304455
281,634.781,97.98283482249099
282,635.756,138.79391367852804
283,636.731,193.59959887840523
284,637.706,143.39980450178336
285,638.681,167.19444424112953
286,639.655,138.9834315021144
287,640.629,17.766679356023815
288,641.603,103.54410059618385
289,642.577,59.315607980395725
290,643.551,100.08111405938325
291,644.525,25.84053126525032
292,645.498,81.59377182994649
293,646.471,131.3407479337584
294,647.444,91.08137159379112
295,648.417,188.81555456448768
296,649.389,88.54320841811568
297,650.362,115.26424434933506
298,651.334,23.97857337570531
299,652.306,90.68610628427268
300,653.278,177.3867538141276
301,654.25,149.08042652301083
302,655.221,186.76703461389116
303,656.192,77.44648799157949
304,657.163,3.1186961873754626
305,658.134,83.78356857768813
306,659.105,146.4410145327165
307,660.076,17.090943255094317
308,661.046,-21.2667363454093
309,662.016,59.367884606781445
310,662.986,159.9947170713931
311,663.956,98.61367188941585
312,664.925,27.22465958183966
313,665.895,6.827590472443262
314,666.864,-24.577625169433304
315,667.833,155.0089229118821
316,668.802,7.587147380672832
317,669.771,-12.843039408802724
318,670.739,-9.281725117449241
319,671.708,-2.728996147554426
320,672.676,11.81506200819058
321,673.644,10.350364124526095
322,674.611,142.8768249525856
323,675.579,145.39435922281336
324,676.546,22.902881379901373
325,677.514,100.40230557775794
326,678.481,145.89254592447105
327,679.447,253.3735163273377
328,680.414,232.84513040187085
329,681.38,172.30730125683476
330,682.347,-74.24005846468208
331,683.313,168.20296353580488
332,684.279,330.636286832294
333,685.244,89.05983066237968
334,686.21,104.47351360240646
335,687.175,-54.12274594940391
336,688.14,27.270970196219423
337,689.105,-38.34541446746516
338,690.07,102.02802349828198
339,691.035,12.39121129004343
340,691.999,-48.25592409965611
341,692.963,-16.913455703062937
342,693.928,-51.581451823352836
343,694.891,-89.2599791061948
344,695.855,-95.94909914228992
345,696.819,33.3511352251262
346,697.782,-61.35931944416734
347,698.745,-85.08050665709743
348,699.708,-18.81246390736851
349,700.671,24.444779649202246
350,701.633,-98.30880329960928
351,702.596,-12.073240114899818
352,703.558,-15.848548523506906
353,704.52,64.36525493090812
354,705.482,47.568155257835315
