#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)HA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2023/05/17 16:37:34,800000
サンプリング周期,50ms
データ数,4347
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-HA08共通
実サンプリング周期,50ms
計測機能設定,平均回数   128回
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,***
断線検出値,***
デジタルフィルタ,***
その他,***

トリガ条件
マニュアルトリガ,ON
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,未使用
ポイント数,0

チャンネル条件,
チャンネル番号,,(1)HA-V01
波形名,,"Voltage01"
入力レンジ,,±10V   (差動)
単位,,"V"
計測機能,,平均   ON
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,
ローパスフィルタ,,
ハイパスフィルタ,,
感度,,
基本単位,,
極性,,

#EndHeader,日時(μs),(1)HA-V01
2023/05/17 16:37:36,900000,-0.096
2023/05/17 16:37:36,950000,-0.097
2023/05/17 16:37:37,000000,-0.102
2023/05/17 16:37:37,050000,-0.096
2023/05/17 16:37:37,100000,-0.097
2023/05/17 16:37:37,150000,-0.102
2023/05/17 16:37:37,200000,-0.096
2023/05/17 16:37:37,250000,-0.096
2023/05/17 16:37:37,300000,-0.100
2023/05/17 16:37:37,350000,-0.098
2023/05/17 16:37:37,400000,-0.097
2023/05/17 16:37:37,450000,-0.100
2023/05/17 16:37:37,500000,-0.100
2023/05/17 16:37:37,550000,-0.096
2023/05/17 16:37:37,600000,-0.100
2023/05/17 16:37:37,650000,-0.101
2023/05/17 16:37:37,700000,-0.098
2023/05/17 16:37:37,750000,-0.102
2023/05/17 16:37:37,800000,-0.106
2023/05/17 16:37:37,850000,-0.097
2023/05/17 16:37:37,900000,-0.100
2023/05/17 16:37:37,950000,-0.106
2023/05/17 16:37:38,000000,-0.097
2023/05/17 16:37:38,050000,-0.097
2023/05/17 16:37:38,100000,-0.104
2023/05/17 16:37:38,150000,-0.096
2023/05/17 16:37:38,200000,-0.097
2023/05/17 16:37:38,250000,-0.101
2023/05/17 16:37:38,300000,-0.096
2023/05/17 16:37:38,350000,-0.096
2023/05/17 16:37:38,400000,-0.102
2023/05/17 16:37:38,450000,-0.097
2023/05/17 16:37:38,500000,-0.097
2023/05/17 16:37:38,550000,-0.103
2023/05/17 16:37:38,600000,-0.100
2023/05/17 16:37:38,650000,-0.098
2023/05/17 16:37:38,700000,-0.101
2023/05/17 16:37:38,750000,-0.102
2023/05/17 16:37:38,800000,-0.098
2023/05/17 16:37:38,850000,-0.098
2023/05/17 16:37:38,900000,-0.101
2023/05/17 16:37:38,950000,-0.094
2023/05/17 16:37:39,000000,-0.094
2023/05/17 16:37:39,050000,-0.099
2023/05/17 16:37:39,100000,-0.095
2023/05/17 16:37:39,150000,-0.090
2023/05/17 16:37:39,200000,-0.091
2023/05/17 16:37:39,250000,-0.095
2023/05/17 16:37:39,300000,-0.091
2023/05/17 16:37:39,350000,-0.090
