Action👇 git_branch_name 👉	main	feature	fix	test	doc	release
🐍 Create Virtualenv	✅	✅	✅	✅	✅	✅
💾 Install Dependencies	✅	✅	✅	✅	✅	✅
🏗️ Build Source Code	✅	✅	✅	✅	✅	✅
🧪 Run Code Coverage Test	✅	✅	✅	✅	✅	✅
📔 Publish Documentation Website	✅	❌	❌	❌	✅	❌
🏗️ Publish PyPI Version	✅	❌	❌	❌	❌	✅
