"試験名","試験ﾓｰﾄﾞ","試験種類","ｺﾝﾄﾛｰﾙ","試験速度1","試験速度2","試験速度3","切替点1","切替点2","伸び原点","破断、ﾘﾐｯﾄ後の動作","感度:","ﾚﾍﾞﾙ:"
"","ｼﾝｸﾞﾙ","引張","ｽﾄﾛｰｸ",10,1,1,"Off","Off","最初から","ｽﾄｯﾌﾟ",0,0

"タイトル","サブタイトル","コメント"
"","",""

"形状:","ﾊﾞｯﾁ数:","ｻﾌﾞﾊﾞｯﾁ数:"
"平板",1,1
"名前:","厚さ","幅","つかみ具間距離",
"寸法単位:","mm","mm","mm",
" 1 - 1","1.9930","2.5340","10.0000",

"名前",
"ﾊﾟﾗﾒｰﾀ",
"単位",
" 1 - 1",

" 1- 1"
"時間","試験力","ｽﾄﾛｰｸ",
"8.50",.484375,1.407,
"8.55",.484375,1.416,
"8.60",.484375,1.424,
"8.65",.515625,1.432,
"8.70",.515625,1.44,
"8.75",.5,1.449,
"8.80",.53125,1.457,
"8.85",.515625,1.466,
"8.90",.515625,1.474,
"8.95",.5,1.482,
"9.00",.53125,1.491,
"9.05",.515625,1.499,
"9.10",.515625,1.507,
"9.15",.546875,1.516,
"9.20",.546875,1.524,
"9.25",.515625,1.532,
"9.30",.546875,1.541,
"9.35",.515625,1.549,
"9.40",.53125,1.557,
"9.45",.546875,1.566,
"9.50",.515625,1.574,
"9.55",.53125,1.582,
"9.60",.578125,1.591,
"9.65",.578125,1.599,
"9.70",.53125,1.607,
"9.75",.53125,1.616,
"9.80",.5625,1.624,
"9.85",.578125,1.632,
"9.90",.609375,1.641,
"9.95",.515625,1.649,
"10.00",.59375,1.657,
"10.05",.578125,1.666,
"10.10",.5625,1.674,
"10.15",.578125,1.682,
"10.20",.5625,1.691,
"10.25",.59375,1.699,
"10.30",.5625,1.707,
"10.35",.578125,1.716,
"10.40",.59375,1.724,
"10.45",.609375,1.732,
"10.50",.59375,1.741,
"10.55",.578125,1.749,
"10.60",.59375,1.757,
"10.65",.609375,1.766,
"10.70",.578125,1.774,
"10.75",.59375,1.782,
"10.80",.625,1.791,
"10.85",.671875,1.799,
"10.90",.625,1.807,
"10.95",.65625,1.816,
"11.00",.671875,1.824,
"11.05",.6875,1.832,
"11.10",.640625,1.841,
"11.15",.578125,1.849,
"11.20",.640625,1.857,
"11.25",.625,1.866,
"11.30",.671875,1.874,
"11.35",.671875,1.882,
"11.40",.609375,1.891,
"11.45",.671875,1.899,
"11.50",.65625,1.907,
"11.55",.65625,1.916,
"11.60",.609375,1.924,
"11.65",.640625,1.932,
"11.70",.6875,1.94,
"11.75",.625,1.949,
"11.80",.640625,1.957,
"11.85",.640625,1.966,
"11.90",.65625,1.974,
"11.95",.609375,1.982,
"12.00",.6875,1.991,
"12.05",.71875,1.999,
"12.10",.6875,2.007,
"12.15",.671875,2.016,
"12.20",.65625,2.024,
"12.25",.640625,2.032,
"12.30",.640625,2.04,
"12.35",.65625,2.049,
"12.40",.734375,2.057,
"12.45",.671875,2.066,
"12.50",.703125,2.074,
"12.55",.65625,2.082,
"12.60",.671875,2.091,
"12.65",.703125,2.099,
"12.70",.71875,2.107,
"12.75",.703125,2.116,
"12.80",.65625,2.124,
"12.85",.703125,2.132,
"12.90",.75,2.141,
"12.95",.703125,2.149,
"13.00",.6875,2.157,
"13.05",.765625,2.166,
"13.10",.71875,2.174,
"13.15",.71875,2.182,
"13.20",.734375,2.191,
"13.25",.703125,2.199,
"13.30",.703125,2.207,
"13.35",.71875,2.216,
"13.40",.734375,2.224,
"13.45",.71875,2.232,
"13.50",.75,2.241,
"13.55",.71875,2.249,
"13.60",.703125,2.257,
"13.65",.71875,2.266,
"13.70",.75,2.274,
"13.75",.734375,2.282,
"13.80",.71875,2.291,
"13.85",.75,2.299,
"13.90",.734375,2.307,
"13.95",.734375,2.316,
"14.00",.75,2.324,
"14.05",.75,2.332,
"14.10",.75,2.341,
"14.15",.8125,2.349,
"14.20",.75,2.357,
"14.25",.796875,2.366,
"14.30",.75,2.374,
"14.35",.796875,2.382,
"14.40",.765625,2.391,
"14.45",.734375,2.399,
"14.50",.765625,2.407,
"14.55",.6875,2.416,
"14.60",.828125,2.424,
"14.65",.75,2.432,
"14.70",.71875,2.441,
"14.75",.78125,2.449,
"14.80",.71875,2.457,
"14.85",.78125,2.466,
"14.90",.703125,2.474,
"14.95",.765625,2.482,
"15.00",.78125,2.491,
"15.05",.78125,2.499,
"15.10",.71875,2.507,
"15.15",.78125,2.516,
"15.20",.78125,2.524,
"15.25",.765625,2.532,
"15.30",.8125,2.541,
"15.35",.78125,2.549,
"15.40",.84375,2.557,
"15.45",.796875,2.566,
"15.50",.859375,2.574,
"15.55",.84375,2.582,
"15.60",.8125,2.591,
"15.65",.828125,2.599,
"15.70",.78125,2.607,
"15.75",.8125,2.616,
"15.80",.8125,2.624,
"15.85",.796875,2.632,
"15.90",.796875,2.641,
"15.95",.8125,2.649,
"16.00",.828125,2.657,
"16.05",.84375,2.666,
"16.10",.828125,2.674,
"16.15",.84375,2.682,
"16.20",.765625,2.691,
"16.25",.796875,2.699,
"16.30",.828125,2.707,
"16.35",.875,2.716,
"16.40",.84375,2.724,
"16.45",.84375,2.732,
"16.50",.859375,2.741,
"16.55",.828125,2.749,
"16.60",.78125,2.757,
"16.65",.828125,2.766,
"16.70",.84375,2.774,
"16.75",.859375,2.782,
"16.80",.84375,2.791,
"16.85",.828125,2.799,
"16.90",.859375,2.807,
"16.95",.859375,2.816,
"17.00",.859375,2.824,
"17.05",.859375,2.832,
"17.10",.890625,2.841,
"17.15",.84375,2.849,
"17.20",.875,2.857,
"17.25",.875,2.866,
"17.30",.875,2.874,
"17.35",.84375,2.882,
"17.40",.84375,2.891,
"17.45",.875,2.899,
"17.50",.890625,2.907,
"17.55",.890625,2.916,
"17.60",.953125,2.924,
"17.65",.875,2.932,
"17.70",.890625,2.94,
"17.75",.859375,2.949,
"17.80",.890625,2.957,
"17.85",.890625,2.966,
"17.90",.90625,2.974,
"17.95",.828125,2.982,
"18.00",.875,2.991,
"18.05",.90625,2.999,
"18.10",.921875,3.007,
"18.15",.90625,3.016,
"18.20",.953125,3.024,
"18.25",.890625,3.032,
"18.30",.890625,3.04,
"18.35",.890625,3.049,
"18.40",.90625,3.057,
"18.45",.921875,3.066,
"18.50",.921875,3.074,
"18.55",.90625,3.082,
"18.60",.90625,3.091,
"18.65",.890625,3.099,
"18.70",.90625,3.107,
"18.75",.859375,3.116,
"18.80",.875,3.124,
"18.85",.953125,3.132,
"18.90",.953125,3.141,
"18.95",.96875,3.149,
"19.00",.921875,3.157,
"19.05",.921875,3.166,
"19.10",1.015625,3.174,
"19.15",.9375,3.182,
"19.20",.90625,3.191,
"19.25",.9375,3.199,
"19.30",.90625,3.207,
"19.35",.90625,3.216,
"19.40",.9375,3.224,
"19.45",.953125,3.232,
"19.50",.953125,3.241,
"19.55",.9375,3.249,
"19.60",.953125,3.257,
"19.65",.953125,3.266,
"19.70",.921875,3.274,
"19.75",.9375,3.282,
"19.80",.96875,3.291,
"19.85",.953125,3.299,
"19.90",.96875,3.307,
"19.95",.96875,3.316,
"20.00",.953125,3.324,
"20.05",.96875,3.332,
"20.10",1.046875,3.341,
"20.15",.96875,3.349,
"20.20",.96875,3.357,
"20.25",.953125,3.366,
"20.30",.9375,3.374,
"20.35",.96875,3.382,
"20.40",.921875,3.391,
"20.45",.953125,3.399,
"20.50",.953125,3.407,
"20.55",1,3.416,
"20.60",.953125,3.424,
"20.65",.984375,3.432,
"20.70",.96875,3.441,
"20.75",.953125,3.449,
"20.80",1.015625,3.457,
"20.85",.984375,3.466,
"20.90",.9375,3.474,
"20.95",1.015625,3.482,
"21.00",.984375,3.491,
"21.05",.984375,3.499,
"21.10",.984375,3.507,
"21.15",.9375,3.516,
"21.20",1.015625,3.524,
"21.25",.96875,3.532,
"21.30",1.015625,3.541,
"21.35",.984375,3.549,
"21.40",1.03125,3.557,
"21.45",.984375,3.566,
"21.50",.984375,3.574,
"21.55",1.046875,3.582,
"21.60",1.03125,3.591,
"21.65",1.015625,3.599,
"21.70",1,3.607,
"21.75",1,3.616,
"21.80",1.015625,3.624,
"21.85",1.046875,3.632,
"21.90",1.046875,3.641,
"21.95",1.046875,3.649,
"22.00",1.015625,3.657,
"22.05",1.03125,3.666,
"22.10",.984375,3.674,
"22.15",1,3.682,
"22.20",1.03125,3.691,
"22.25",1.046875,3.699,
"22.30",1.015625,3.707,
"22.35",1,3.716,
"22.40",1.015625,3.724,
"22.45",.984375,3.732,
"22.50",1.03125,3.741,
"22.55",1.015625,3.749,
"22.60",1.0625,3.757,
"22.65",1.046875,3.766,
"22.70",1.03125,3.774,
"22.75",1.0625,3.782,
"22.80",1.09375,3.791,
"22.85",1.015625,3.799,
"22.90",1.0625,3.807,
"22.95",1.046875,3.816,
"23.00",1.046875,3.824,
"23.05",1,3.832,
"23.10",1.03125,3.841,
"23.15",1.046875,3.849,
"23.20",1.03125,3.857,
"23.25",1.046875,3.866,
"23.30",1.0625,3.874,
"23.35",1.03125,3.882,
"23.40",1.0625,3.891,
"23.45",1.03125,3.899,
"23.50",1.0625,3.907,
"23.55",1.046875,3.916,
"23.60",1.015625,3.924,
"23.65",1.046875,3.932,
"23.70",1.0625,3.941,
"23.75",1.0625,3.949,
"23.80",1.078125,3.957,
"23.85",1.09375,3.966,
"23.90",1.078125,3.974,
"23.95",1.03125,3.982,
"24.00",1.078125,3.991,
"24.05",1.09375,3.999,
"24.10",1.078125,4.007,
"24.15",1.03125,4.015,
"24.20",1.09375,4.024,
"24.25",1.03125,4.032,
"24.30",1.0625,4.04,
"24.35",1.078125,4.049,
"24.40",1.109375,4.057,
"24.45",1.09375,4.066,
"24.50",1.0625,4.074,
"24.55",1.09375,4.082,
"24.60",1.078125,4.091,
"24.65",1.109375,4.099,
"24.70",1.078125,4.107,
"24.75",1.125,4.116,
"24.80",1.09375,4.124,
"24.85",1.109375,4.132,
"24.90",1.0625,4.141,
"24.95",1.15625,4.149,
"25.00",1.125,4.157,
"25.05",1.15625,4.166,
"25.10",1.078125,4.174,
"25.15",1.15625,4.182,
"25.20",1.109375,4.191,
"25.25",1.140625,4.199,
"25.30",1.078125,4.207,
"25.35",1.125,4.216,
"25.40",1.109375,4.224,
"25.45",1.125,4.232,
"25.50",1.125,4.241,
"25.55",1.125,4.249,
"25.60",1.078125,4.257,
"25.65",1.125,4.266,
"25.70",1.125,4.274,
"25.75",1.125,4.282,
"25.80",1.15625,4.291,
"25.85",1.15625,4.299,
"25.90",1.125,4.307,
"25.95",1.109375,4.316,
"26.00",1.125,4.324,
"26.05",1.109375,4.332,
"26.10",1.140625,4.341,
"26.15",1.140625,4.349,
"26.20",1.125,4.357,
"26.25",1.171875,4.366,
"26.30",1.171875,4.374,
"26.35",1.125,4.382,
"26.40",1.125,4.391,
"26.45",1.125,4.399,
"26.50",1.09375,4.407,
"26.55",1.140625,4.416,
"26.60",1.15625,4.424,
"26.65",1.171875,4.432,
"26.70",1.140625,4.441,
"26.75",1.140625,4.449,
"26.80",1.125,4.457,
"26.85",1.15625,4.466,
"26.90",1.15625,4.474,
"26.95",1.265625,4.482,
"27.00",1.15625,4.491,
"27.05",1.171875,4.499,
"27.10",1.15625,4.507,
"27.15",1.171875,4.516,
"27.20",1.140625,4.524,
"27.25",1.1875,4.532,
"27.30",1.15625,4.541,
"27.35",1.109375,4.549,
"27.40",1.171875,4.557,
"27.45",1.171875,4.566,
"27.50",1.171875,4.574,
"27.55",1.1875,4.582,
"27.60",1.140625,4.591,
"27.65",1.171875,4.599,
"27.70",1.15625,4.607,
"27.75",1.171875,4.616,
"27.80",1.171875,4.624,
"27.85",1.15625,4.632,
"27.90",1.15625,4.641,
"27.95",1.1875,4.649,
"28.00",1.203125,4.657,
"28.05",1.171875,4.666,
"28.10",1.171875,4.674,
"28.15",1.1875,4.682,
"28.20",1.1875,4.691,
"28.25",1.203125,4.699,
"28.30",1.1875,4.707,
"28.35",1.171875,4.716,
"28.40",1.1875,4.724,
"28.45",1.1875,4.732,
"28.50",1.1875,4.741,
"28.55",1.296875,4.749,
"28.60",1.1875,4.757,
"28.65",1.203125,4.766,
"28.70",1.203125,4.774,
"28.75",1.21875,4.782,
"28.80",1.203125,4.791,
"28.85",1.265625,4.799,
"28.90",1.203125,4.807,
"28.95",1.21875,4.816,
"29.00",1.1875,4.824,
"29.05",1.203125,4.832,
"29.10",1.21875,4.841,
"29.15",1.1875,4.849,
"29.20",1.21875,4.857,
"29.25",1.203125,4.866,
"29.30",1.203125,4.874,
"29.35",1.203125,4.882,
"29.40",1.1875,4.891,
"29.45",1.171875,4.899,
"29.50",1.234375,4.907,
"29.55",1.21875,4.916,
"29.60",1.296875,4.924,
"29.65",1.21875,4.932,
"29.70",1.234375,4.94,
"29.75",1.234375,4.949,
"29.80",1.234375,4.957,
"29.85",1.203125,4.965,
"29.90",1.234375,4.974,
"29.95",1.234375,4.982,
"30.00",1.21875,4.991,
"30.05",1.203125,4.999,
"30.10",1.234375,5.007,
"30.15",1.25,5.016,
"30.20",1.25,5.024,
"30.25",1.25,5.032,
"30.30",1.265625,5.041,
"30.35",1.21875,5.049,
"30.40",1.265625,5.057,
"30.45",1.234375,5.066,
"30.50",1.234375,5.074,
"30.55",1.25,5.082,
"30.60",1.203125,5.091,
"30.65",1.234375,5.099,
"30.70",1.265625,5.107,
"30.75",1.25,5.116,
"30.80",1.265625,5.124,
"30.85",1.25,5.132,
"30.90",1.25,5.141,
"30.95",1.1875,5.149,
"31.00",1.28125,5.157,
"31.05",1.1875,5.166,
"31.10",1.25,5.174,
"31.15",1.28125,5.182,
"31.20",1.265625,5.191,
"31.25",1.234375,5.199,
"31.30",1.296875,5.207,
"31.35",1.328125,5.216,
"31.40",1.28125,5.224,
"31.45",1.265625,5.232,
"31.50",1.28125,5.241,
"31.55",1.265625,5.249,
"31.60",1.3125,5.257,
"31.65",1.265625,5.266,
"31.70",1.265625,5.274,
"31.75",1.25,5.282,
"31.80",1.28125,5.291,
"31.85",1.265625,5.299,
"31.90",1.296875,5.307,
"31.95",1.28125,5.316,
"32.00",1.3125,5.324,
"32.05",1.28125,5.332,
"32.10",1.28125,5.341,
"32.15",1.265625,5.349,
"32.20",1.265625,5.357,
"32.25",1.296875,5.366,
"32.30",1.265625,5.374,
"32.35",1.28125,5.382,
"32.40",1.296875,5.391,
"32.45",1.28125,5.399,
"32.50",1.359375,5.407,
"32.55",1.3125,5.416,
"32.60",1.296875,5.424,
"32.65",1.28125,5.432,
"32.70",1.28125,5.441,
"32.75",1.296875,5.449,
"32.80",1.328125,5.457,
"32.85",1.3125,5.466,
"32.90",1.328125,5.474,
"32.95",1.3125,5.482,
"33.00",1.296875,5.491,
"33.05",1.265625,5.499,
"33.10",1.296875,5.507,
"33.15",1.28125,5.516,
"33.20",1.296875,5.524,
"33.25",1.28125,5.532,
"33.30",1.296875,5.541,
"33.35",1.296875,5.549,
"33.40",1.359375,5.557,
"33.45",1.296875,5.566,
"33.50",1.296875,5.574,
"33.55",1.296875,5.582,
"33.60",1.296875,5.591,
"33.65",1.296875,5.599,
"33.70",1.34375,5.607,
"33.75",1.421875,5.616,
"33.80",1.3125,5.624,
"33.85",1.40625,5.632,
"33.90",1.3125,5.641,
"33.95",1.359375,5.649,
"34.00",1.296875,5.657,
"34.05",1.3125,5.666,
"34.10",1.328125,5.674,
"34.15",1.40625,5.682,
"34.20",1.3125,5.691,
"34.25",1.34375,5.699,
"34.30",1.34375,5.707,
"34.35",1.34375,5.716,
"34.40",1.328125,5.724,
"34.45",1.28125,5.732,
"34.50",1.390625,5.741,
"34.55",1.3125,5.749,
"34.60",1.3125,5.757,
"34.65",1.34375,5.766,
"34.70",1.34375,5.774,
"34.75",1.34375,5.782,
"34.80",1.34375,5.791,
"34.85",1.34375,5.799,
"34.90",1.359375,5.807,
"34.95",1.375,5.816,
"35.00",1.359375,5.824,
"35.05",1.34375,5.832,
"35.10",1.375,5.841,
"35.15",1.359375,5.849,
"35.20",1.34375,5.857,
"35.25",1.359375,5.866,
"35.30",1.375,5.874,
"35.35",1.375,5.882,
"35.40",1.328125,5.891,
"35.45",1.34375,5.899,
"35.50",1.375,5.907,
"35.55",1.375,5.916,
"35.60",1.359375,5.924,
"35.65",1.34375,5.932,
"35.70",1.40625,5.94,
"35.75",1.375,5.949,
"35.80",1.390625,5.957,
"35.85",1.359375,5.966,
"35.90",1.375,5.974,
"35.95",1.375,5.982,
"36.00",1.359375,5.991,
"36.05",1.375,5.999,
"36.10",1.359375,6.007,
"36.15",1.34375,6.016,
"36.20",1.390625,6.024,
"36.25",1.375,6.032,
"36.30",1.375,6.041,
"36.35",1.4375,6.049,
"36.40",1.390625,6.057,
"36.45",1.34375,6.066,
"36.50",1.390625,6.074,
"36.55",1.375,6.082,
"36.60",1.375,6.091,
"36.65",1.390625,6.099,
"36.70",1.390625,6.107,
"36.75",1.375,6.116,
"36.80",1.375,6.124,
"36.85",1.34375,6.132,
"36.90",1.375,6.141,
"36.95",1.40625,6.149,
"37.00",1.390625,6.157,
"37.05",1.421875,6.166,
"37.10",1.421875,6.174,
"37.15",1.390625,6.182,
"37.20",1.375,6.191,
"37.25",1.421875,6.199,
"37.30",1.390625,6.207,
"37.35",1.390625,6.216,
"37.40",1.390625,6.224,
"37.45",1.421875,6.232,
"37.50",1.40625,6.241,
"37.55",1.390625,6.249,
"37.60",1.40625,6.257,
"37.65",1.40625,6.266,
"37.70",1.421875,6.274,
"37.75",1.421875,6.282,
"37.80",1.4375,6.291,
"37.85",1.390625,6.299,
"37.90",1.40625,6.307,
"37.95",1.453125,6.316,
"38.00",1.421875,6.324,
"38.05",1.4375,6.332,
"38.10",1.421875,6.341,
"38.15",1.453125,6.349,
"38.20",1.4375,6.357,
"38.25",1.421875,6.366,
"38.30",1.46875,6.374,
"38.35",1.40625,6.382,
"38.40",1.453125,6.391,
"38.45",1.421875,6.399,
"38.50",1.40625,6.407,
"38.55",1.40625,6.416,
"38.60",1.4375,6.424,
"38.65",1.46875,6.432,
"38.70",1.46875,6.441,
"38.75",1.421875,6.449,
"38.80",1.453125,6.457,
"38.85",1.40625,6.466,
"38.90",1.5,6.474,
"38.95",1.4375,6.482,
"39.00",1.453125,6.491,
"39.05",1.4375,6.499,
"39.10",1.421875,6.507,
"39.15",1.4375,6.516,
"39.20",1.421875,6.524,
"39.25",1.4375,6.532,
"39.30",1.46875,6.541,
"39.35",1.484375,6.549,
"39.40",1.453125,6.557,
"39.45",1.4375,6.566,
"39.50",1.421875,6.574,
"39.55",1.46875,6.582,
"39.60",1.453125,6.591,
"39.65",1.390625,6.599,
"39.70",1.484375,6.607,
"39.75",1.46875,6.616,
"39.80",1.421875,6.624,
"39.85",1.46875,6.632,
"39.90",1.453125,6.641,
"39.95",1.4375,6.649,
"40.00",1.46875,6.657,
"40.05",1.453125,6.666,
"40.10",1.453125,6.674,
"40.15",1.46875,6.682,
"40.20",1.453125,6.691,
"40.25",1.46875,6.699,
"40.30",1.484375,6.707,
"40.35",1.515625,6.716,
"40.40",1.484375,6.724,
"40.45",1.453125,6.732,
"40.50",1.453125,6.741,
"40.55",1.546875,6.749,
"40.60",1.46875,6.757,
"40.65",1.46875,6.766,
"40.70",1.46875,6.774,
"40.75",1.484375,6.782,
"40.80",1.4375,6.791,
"40.85",1.515625,6.799,
"40.90",1.46875,6.807,
"40.95",1.5,6.816,
"41.00",1.484375,6.824,
"41.05",1.46875,6.832,
"41.10",1.46875,6.841,
"41.15",1.515625,6.849,
"41.20",1.515625,6.857,
"41.25",1.53125,6.866,
"41.30",1.484375,6.874,
"41.35",1.5,6.882,
"41.40",1.546875,6.891,
"41.45",1.484375,6.899,
"41.50",1.484375,6.907,
"41.55",1.484375,6.916,
"41.60",1.515625,6.924,
"41.65",1.515625,6.932,
"41.70",1.484375,6.94,
"41.75",1.515625,6.949,
"41.80",1.5,6.957,
"41.85",1.484375,6.966,
"41.90",1.515625,6.974,
"41.95",1.5625,6.982,
"42.00",1.484375,6.991,
"42.05",1.46875,6.999,
"42.10",1.5,7.007,
"42.15",1.515625,7.016,
"42.20",1.453125,7.024,
"42.25",1.59375,7.032,
"42.30",1.578125,7.04,
"42.35",1.515625,7.049,
"42.40",1.53125,7.057,
"42.45",1.484375,7.065,
"42.50",1.515625,7.074,
"42.55",1.515625,7.082,
"42.60",1.484375,7.091,
"42.65",1.515625,7.099,
"42.70",1.515625,7.107,
"42.75",1.546875,7.116,
"42.80",1.53125,7.124,
"42.85",1.53125,7.132,
"42.90",1.5,7.141,
"42.95",1.5,7.149,
"43.00",1.515625,7.157,
"43.05",1.5625,7.166,
"43.10",1.515625,7.174,
"43.15",1.53125,7.182,
"43.20",1.578125,7.191,
"43.25",1.53125,7.199,
"43.30",1.59375,7.207,
"43.35",1.53125,7.216,
"43.40",1.515625,7.224,
"43.45",1.515625,7.232,
"43.50",1.484375,7.241,
"43.55",1.53125,7.249,
"43.60",1.484375,7.257,
"43.65",1.546875,7.266,
"43.70",1.546875,7.274,
"43.75",1.515625,7.282,
"43.80",1.53125,7.291,
"43.85",1.546875,7.299,
"43.90",1.5,7.307,
"43.95",1.546875,7.316,
"44.00",1.5,7.324,
"44.05",1.546875,7.332,
"44.10",1.5625,7.341,
"44.15",1.546875,7.349,
"44.20",1.609375,7.357,
"44.25",1.53125,7.366,
"44.30",1.5625,7.374,
"44.35",1.546875,7.382,
"44.40",1.5625,7.391,
"44.45",1.5625,7.399,
"44.50",1.515625,7.407,
"44.55",1.515625,7.416,
"44.60",1.578125,7.424,
"44.65",1.5625,7.432,
"44.70",1.578125,7.441,
"44.75",1.5625,7.449,
"44.80",1.625,7.457,
"44.85",1.5625,7.466,
"44.90",1.578125,7.474,
"44.95",1.5625,7.482,
"45.00",1.546875,7.491,
"45.05",1.578125,7.499,
"45.10",1.5625,7.507,
"45.15",1.546875,7.516,
"45.20",1.59375,7.524,
"45.25",1.546875,7.532,
"45.30",1.5625,7.541,
"45.35",1.546875,7.549,
"45.40",1.546875,7.557,
"45.45",1.546875,7.566,
"45.50",1.5625,7.574,
"45.55",1.625,7.582,
"45.60",1.59375,7.591,
"45.65",1.5625,7.599,
"45.70",1.59375,7.607,
"45.75",1.578125,7.616,
"45.80",1.5625,7.624,
"45.85",1.5625,7.632,
"45.90",1.578125,7.641,
"45.95",1.59375,7.649,
"46.00",1.640625,7.657,
"46.05",1.609375,7.666,
