"試験名","試験ﾓｰﾄﾞ","試験種類","ｺﾝﾄﾛｰﾙ","試験速度1","試験速度2","試験速度3","切替点1","切替点2","伸び原点","破断、ﾘﾐｯﾄ後の動作","感度:","ﾚﾍﾞﾙ:"
"","ｼﾝｸﾞﾙ","引張","ｽﾄﾛｰｸ",10,1,1,"Off","Off","最初から","ｽﾄｯﾌﾟ",0,0

"タイトル","サブタイトル","コメント"
"","",""

"形状:","ﾊﾞｯﾁ数:","ｻﾌﾞﾊﾞｯﾁ数:"
"平板",1,1
"名前:","厚さ","幅","つかみ具間距離",
"寸法単位:","mm","mm","mm",
" 1 - 1","1.9930","2.5340","10.0000",

"名前",
"ﾊﾟﾗﾒｰﾀ",
"単位",
" 1 - 1",

" 1- 1"
"時間","試験力","ｽﾄﾛｰｸ",
"sec","N","mm",
"0.00",-.046875,0,
"0.05",-.015625,.001,
"0.10",-.015625,.008,
"0.15",-.015625,.015,
"0.20",-.015625,.024,
"0.25",-.015625,.032,
"0.30",-.015625,.04,
"0.35",0,.049,
"0.40",0,.057,
"0.45",.03125,.066,
"0.50",0,.074,
"0.55",.03125,.082,
"0.60",.015625,.091,
"0.65",.015625,.099,
"0.70",0,.107,
"0.75",.015625,.116,
"0.80",.046875,.124,
"0.85",.015625,.132,
"0.90",0,.141,
"0.95",0,.149,
"1.00",.046875,.157,
"1.05",.09375,.166,
"1.10",.03125,.174,
"1.15",.078125,.182,
"1.20",.0625,.191,
"1.25",.03125,.199,
"1.30",.078125,.207,
"1.35",.078125,.216,
"1.40",.078125,.224,
"1.45",.0625,.232,
"1.50",.09375,.241,
"1.55",.109375,.249,
"1.60",.09375,.257,
"1.65",.0625,.266,
"1.70",.109375,.274,
"1.75",.171875,.282,
"1.80",.078125,.291,
"1.85",.109375,.299,
"1.90",.078125,.307,
"1.95",.09375,.316,
"2.00",.125,.324,
"2.05",.09375,.332,
"2.10",.09375,.341,
"2.15",.140625,.349,
"2.20",.125,.357,
"2.25",.15625,.366,
"2.30",.125,.374,
"2.35",.140625,.382,
"2.40",.125,.391,
"2.45",.140625,.399,
"2.50",.1875,.407,
"2.55",.09375,.416,
"2.60",.171875,.424,
"2.65",.140625,.432,
"2.70",.203125,.441,
"2.75",.1875,.449,
"2.80",.21875,.457,
"2.85",.1875,.466,
"2.90",.1875,.474,
"2.95",.1875,.482,
"3.00",.171875,.491,
"3.05",.15625,.499,
"3.10",.1875,.507,
"3.15",.140625,.516,
"3.20",.1875,.524,
"3.25",.171875,.532,
"3.30",.1875,.541,
"3.35",.203125,.549,
"3.40",.171875,.557,
"3.45",.203125,.566,
"3.50",.28125,.574,
"3.55",.28125,.582,
"3.60",.234375,.591,
"3.65",.265625,.599,
"3.70",.234375,.607,
"3.75",.21875,.616,
"3.80",.203125,.624,
"3.85",.234375,.632,
"3.90",.21875,.641,
"3.95",.234375,.649,
"4.00",.234375,.657,
"4.05",.1875,.666,
"4.10",.28125,.674,
"4.15",.21875,.682,
"4.20",.25,.691,
"4.25",.265625,.699,
"4.30",.25,.707,
"4.35",.25,.716,
"4.40",.3125,.724,
"4.45",.296875,.732,
"4.50",.28125,.741,
"4.55",.265625,.749,
"4.60",.28125,.757,
"4.65",.28125,.766,
"4.70",.265625,.774,
"4.75",.28125,.782,
"4.80",.3125,.791,
"4.85",.328125,.799,
"4.90",.390625,.807,
"4.95",.265625,.816,
"5.00",.3125,.824,
"5.05",.328125,.832,
"5.10",.28125,.841,
"5.15",.296875,.849,
"5.20",.375,.857,
"5.25",.296875,.866,
"5.30",.3125,.874,
"5.35",.328125,.882,
"5.40",.34375,.891,
"5.45",.28125,.899,
"5.50",.328125,.907,
"5.55",.296875,.916,
"5.60",.296875,.924,
"5.65",.34375,.932,
"5.70",.34375,.94,
"5.75",.34375,.949,
"5.80",.34375,.957,
"5.85",.359375,.966,
"5.90",.328125,.974,
"5.95",.40625,.982,
"6.00",.359375,.991,
"6.05",.359375,.999,
"6.10",.375,1.007,
"6.15",.359375,1.015,
"6.20",.34375,1.024,
"6.25",.390625,1.032,
"6.30",.375,1.04,
"6.35",.390625,1.049,
"6.40",.40625,1.057,
"6.45",.390625,1.066,
"6.50",.375,1.074,
"6.55",.40625,1.082,
"6.60",.390625,1.091,
"6.65",.4375,1.099,
"6.70",.375,1.107,
"6.75",.375,1.116,
"6.80",.421875,1.124,
"6.85",.40625,1.132,
"6.90",.40625,1.141,
"6.95",.40625,1.149,
"7.00",.46875,1.157,
"7.05",.4375,1.166,
"7.10",.390625,1.174,
"7.15",.453125,1.182,
"7.20",.46875,1.191,
"7.25",.421875,1.199,
"7.30",.390625,1.207,
"7.35",.40625,1.216,
"7.40",.453125,1.224,
"7.45",.390625,1.232,
"7.50",.390625,1.241,
"7.55",.40625,1.249,
"7.60",.46875,1.257,
"7.65",.453125,1.266,
"7.70",.4375,1.274,
"7.75",.453125,1.282,
"7.80",.4375,1.291,
"7.85",.4375,1.299,
"7.90",.484375,1.307,
"7.95",.5,1.316,
"8.00",.46875,1.324,
"8.05",.5,1.332,
"8.10",.5,1.341,
"8.15",.578125,1.349,
"8.20",.484375,1.357,
"8.25",.5,1.366,
"8.30",.546875,1.374,
"8.35",.5,1.382,
"8.40",.59375,1.391,
"8.45",.484375,1.399,
